event,category,file,source,bytes,sha256
SCAN-2026,Web3,scan2026_ch6_flag3_intermediary.md,D:/CTF/data/writeups/web3/scan2026_ch6_flag3_intermediary.md,4383,2917e0962df7679bfe78233c05e9a432bb45f25aa185f29fa74d393c8dcd4bbe
SCAN-2026,Web3,scan2026_ch6_flag4_tron_consolidation.md,D:/CTF/data/writeups/web3/scan2026_ch6_flag4_tron_consolidation.md,4781,65c38faf984977a26de629dde5b2fd15577e0f056d70242535548813b24639e8
SCAN-2026,Web3,scan2026_ch6_tornado.md,D:/CTF/data/writeups/web3/scan2026_ch6_tornado.md,1632,a245a9cdb40a0af6837ebe715f4459374e18b54d01ae2b07f0ccc81443ad73e7
SCAN-2026,Web3,scan2026_ch7_flag1_explorer_labels.md,D:/CTF/data/writeups/web3/scan2026_ch7_flag1_explorer_labels.md,4501,23f236eb7191328a9bd2027759ac9453b0273caba8ba8df259c85ada44267d8f
SCAN-2026,Web3,scan2026_ch7_flag2_stablecoin_freeze_audit.md,D:/CTF/data/writeups/web3/scan2026_ch7_flag2_stablecoin_freeze_audit.md,3630,fccdc52ecb9fe2f836ec41a756a42c6025e19bf60e093469b657d43467ee5573
SCAN-2026,Web3,scan2026_ch7_flag3_lazarus_blacklist.md,D:/CTF/data/writeups/web3/scan2026_ch7_flag3_lazarus_blacklist.md,3593,e354427634935f0ab385fdc22e2a3f75c3a0c2a89660ff4fbb1255ea5b997669
SCAN-2026,Web3,scan2026_ch7_flag4_ronin_usdc_laundering.md,D:/CTF/data/writeups/web3/scan2026_ch7_flag4_ronin_usdc_laundering.md,5810,65d8d42395a1a362dce536fe6fd5b25d07936a8cc18b7b1545c311079531a456
SCAN-2026,Web3,scan2026_ch8_flag3_exch_deposits.md,D:/CTF/data/writeups/web3/scan2026_ch8_flag3_exch_deposits.md,3846,4194a5b29bd4ccbcb66ca3b1e8213cd657136735b500ee94f30129e16992eb6c
SCAN-2026,Web3,scan2026_ch8_flag4_exch_btc_payout.md,D:/CTF/data/writeups/web3/scan2026_ch8_flag4_exch_btc_payout.md,4411,e683e210f8dd21db855a614416e37f6ec93609bd1d109bd878ce8d45200ce9b7
SCAN-2026,Web3,scan2026_ch8_flag5_exch_btc_payout.md,D:/CTF/data/writeups/web3/scan2026_ch8_flag5_exch_btc_payout.md,3600,5a23f0edfeb5b0417d2b335ee739ffc2319abe0d0b03b2cc21d9eff8ba87d5db
SCAN-2026,Web3,scan2026_ch8_stablecoin_swap.md,D:/CTF/data/writeups/web3/scan2026_ch8_stablecoin_swap.md,2139,bc205a73c44aa72d6251225611c31640007ec4a4d0700c582282c650842b921d
SCAN-2026,Web3,scan2026_ch9_dex_admin_fee_skim.md,D:/CTF/data/writeups/web3/scan2026_ch9_dex_admin_fee_skim.md,2588,cbcaafe4fea2659c259f73551afa2a43c0b9932f20c4d86cbe0f791c410f510e
SCAN-2026,Web3,scan2026_challenge-#3-flag-2.md,D:/CTF/data/writeups/web3/scan2026_challenge-#3-flag-2.md,1564,0931aad67504892ee410c50b1ced42f5472ca96e4c9a5103122cec7bc2c80eaa
SCAN-2026,Web3,scan2026_challenge-#3-flag-3.md,D:/CTF/data/writeups/web3/scan2026_challenge-#3-flag-3.md,2846,419c497436692efc4b94eb76ca2395490be78d60bbe9b36d935ab62c4c51d12d
SCAN-2026,Web3,scan2026_challenge-#3-flag-4.md,D:/CTF/data/writeups/web3/scan2026_challenge-#3-flag-4.md,3291,3d2a75061d5512db1569a1ace91007297be598c769f6cdb6184e952b8c825208
SCAN-2026,Web3,scan2026_challenge-#3-flag-5.md,D:/CTF/data/writeups/web3/scan2026_challenge-#3-flag-5.md,6029,90d247bc60f57f2e8185a042913ddd8b0f8984971a2c71aaaef498dbe5caf8a2
SCAN-2026,Web3,scan2026_challenge-#5-flag-4.md,D:/CTF/data/writeups/web3/scan2026_challenge-#5-flag-4.md,3259,952ac940d9bfa58e5a346c5912571a7583a603c5f8a66e307a16b2a2b572a86c
SCAN-2026,Web3,scan2026_challenge-#5-flag-5.md,D:/CTF/data/writeups/web3/scan2026_challenge-#5-flag-5.md,5251,421a2cc3ba6372681cfea7cce413fb9a23913652286a37aab28dc842f20be714
SCAN-2026,Web3,scan2026_challenge-#5-flag-6.md,D:/CTF/data/writeups/web3/scan2026_challenge-#5-flag-6.md,4169,1e774b6326bd0aca0922fa0498c8e5c6789cbc21c316e2b500f7c8dc5b169246
SCAN-2026,Web3,scan2026_challenge-#5-flag-7.md,D:/CTF/data/writeups/web3/scan2026_challenge-#5-flag-7.md,3854,5c099be08a27e9397222d4f4a69bc0b595f763e3076d4c172ddfb0e718fe23f6
SCAN-2026,Web3,scan2026_challenge-#5-flag-8.md,D:/CTF/data/writeups/web3/scan2026_challenge-#5-flag-8.md,3348,00e0d2286eae0268c76013fb16f277fb87573d2f112f403c87a321f0037068db
SCAN-2026,Web3,scan2026_challenge-#8-flag-2.md,D:/CTF/data/writeups/web3/scan2026_challenge-#8-flag-2.md,1358,7b8bf1d19834ab80583b3d776cf0aa136d7173e4b561097f65869d7daf281c07
SCONES,Crypto,scones_blowfish.md,D:/CTF/data/writeups/crypto/scones_blowfish.md,1553,47bee6747d79a921d2c4060c2796c4c286dbd8b5a513b1779f10a32d04e31811
StarPwn-2026,Forensics,starpwn2026_Silent_Horizon.md,D:/CTF/data/writeups/forensics/starpwn2026_Silent_Horizon.md,2850,1dfff503671ca4ca0e6e9c5718df9839d0334190f5245d8e86052d4b2982a881
StarPwn-2026,Forensics,starpwn2026_follow_the_leak.md,D:/CTF/data/writeups/forensics/starpwn2026_follow_the_leak.md,2723,4e8301a4a585d226b17292d4147752a9aec8fd086bc6dd5a4e0d4ae664a86882
StarPwn-2026,IoT,starpwn2026_deadly_parade.md,D:/CTF/data/writeups/iot/starpwn2026_deadly_parade.md,3429,2c9845b11583723d4b2d7430b09f6c967f29c2e36a93491b2720fad957e180c9
StarPwn-2026,IoT,starpwn2026_one_to_rule_them_all.md,D:/CTF/data/writeups/iot/starpwn2026_one_to_rule_them_all.md,3553,1e3250ac3dbd915778561e9792df4cf755080807c694987e0321216edf6d1e92
StarPwn-2026,IoT,starpwn2026_walk_the_false_line.md,D:/CTF/data/writeups/iot/starpwn2026_walk_the_false_line.md,2734,71843c4201740018bbc353bfc9de5a265729ff763a51cde1e28ea12c0ceedc45
StarPwn-2026,Misc,starpwn2026_strange_holos.md,D:/CTF/data/writeups/misc/starpwn2026_strange_holos.md,3482,f5a124c5f0cc048dde235add7b0d9ce527a43bee3632833cd8137136b0824aaa
StarPwn-2026,Misc,starpwn2026_strange_holos_4.md,D:/CTF/data/writeups/misc/starpwn2026_strange_holos_4.md,2681,b0c6c419560b775d14d2467a1f2a36294117387b66359dc5d471deae5daa7bf3
StarPwn-2026,Misc,starpwn2026_time_to_intercept.md,D:/CTF/data/writeups/misc/starpwn2026_time_to_intercept.md,1621,d8bace66e42f0be116ea3ae4eee7638630f006a4119f3f33d4db4f0a15fe4a1e
StarPwn-2026,Misc,starpwn2026_tumbling_through_space.md,D:/CTF/data/writeups/misc/starpwn2026_tumbling_through_space.md,1439,3869665f6b3edb5de881a4c614665988f885436495312840c3035f29c7b048bf
StarPwn-2026,Steganography,starpwn2026_glittercity_ost1.md,D:/CTF/data/writeups/steg/starpwn2026_glittercity_ost1.md,3217,60f2947f5c3fbffc590c545eea201813128a60eee8aef11935ced5889e18d198
StarPwn-2026,Web,starpwn2026_space_infiltrations.md,D:/CTF/data/writeups/web/starpwn2026_space_infiltrations.md,2520,1030e1c36315cfa363664cd8b61fb0139778fa673acedd4bf8feb54763608a21
StarPwn-2026,Web,starpwn2026_starry_hacks.md,D:/CTF/data/writeups/web/starpwn2026_starry_hacks.md,1775,b89c1fe3ff56f86b69076173dd19717b4884e0411ad62f8670b5d0fa9bb30b74
StarPwn-2026,Web,starpwn2026_vanguard_orbital_security.md,D:/CTF/data/writeups/web/starpwn2026_vanguard_orbital_security.md,2267,bf48a7f0502e88ebd828fa3ba5cb271f10903dee305052744f526459982d9be7
ThryveCTF-2026,Forensics,thryvectf2026_nova_vault.md,D:/CTF/data/writeups/forensics/thryvectf2026_nova_vault.md,1269,1895b6219df613a92abffb4fc3b1612f60b606e99047763a67b63d4354151ed4
Zerosecure,Crypto,zerosecure_mirror_walk.md,D:/CTF/data/writeups/crypto/zerosecure_mirror_walk.md,1433,43edf642f5580986a1f8646a47974f916ffe1837c49102f39f5aaa702c805c0c
